City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Staritsa,RU,2021-03-29 18:15:27,56.5075,34.9354,34.88,84,100,8.57
67,Bandarbeyla,SO,2021-03-29 18:15:27,9.4942,50.8122,79.3,71,99,5.41
68,Saint-Joseph,RE,2021-03-29 18:15:28,-21.3667,55.6167,78.8,78,75,4.61
69,Tulum,MX,2021-03-29 18:13:37,20.2167,-87.4667,86.0,70,40,14.97
70,Belmonte,BR,2021-03-29 18:15:28,-15.8631,-38.8828,84.2,61,0,17.27
71,Punta Arenas,CL,2021-03-29 18:15:29,-53.15,-70.9167,46.4,93,90,6.91
72,Warsaw,PL,2021-03-29 18:12:11,52.2298,21.0118,50.0,87,75,4.61
73,Torbay,CA,2021-03-29 18:15:29,47.6666,-52.7314,32.0,93,90,41.43
74,Manicore,BR,2021-03-29 18:15:30,-5.8092,-61.3003,80.83,89,92,2.1
75,Comodoro Rivadavia,AR,2021-03-29 18:12:15,-45.8667,-67.5,73.4,46,0,13.8
76,Cidreira,BR,2021-03-29 18:15:30,-30.1811,-50.2056,78.28,50,39,9.95
77,Oriximina,BR,2021-03-29 18:15:31,-1.7656,-55.8661,82.76,74,96,4.9
78,Vila Franca Do Campo,PT,2021-03-29 18:15:31,37.7167,-25.4333,60.8,82,75,11.5
79,Alexandria,EG,2021-03-29 18:15:30,31.2156,29.9553,60.8,55,40,11.5
80,Bredasdorp,ZA,2021-03-29 18:15:32,-34.5322,20.0403,60.8,88,20,6.91
81,Vila Velha,BR,2021-03-29 18:15:32,-20.3297,-40.2925,89.01,65,20,14.97
82,Taoudenni,ML,2021-03-29 18:15:32,22.6783,-3.9836,92.64,5,61,9.66
83,Kologriv,RU,2021-03-29 18:15:33,58.8275,44.3178,24.22,96,44,4.97
84,Jalu,LY,2021-03-29 18:15:33,29.0331,21.5482,64.27,26,33,10.67
85,Oistins,BB,2021-03-29 18:14:13,13.0667,-59.5333,84.2,58,40,21.85
86,Nedjo,ET,2021-03-29 18:15:33,9.5046,35.5019,68.4,50,95,4.07
87,Emba,KZ,2021-03-29 18:15:34,48.8264,58.1442,23.79,94,100,4.18
88,Chadiza,ZM,2021-03-29 18:15:34,-14.0678,32.4392,63.14,91,33,6.89
89,Kruisfontein,ZA,2021-03-29 18:15:35,-34.0033,24.7314,66.99,82,3,8.01
90,Karaikkudi,IN,2021-03-29 18:15:35,10.0667,78.7833,83.62,66,92,13.62
91,Aneho,TG,2021-03-29 18:15:35,6.2333,1.6,84.2,84,20,11.5
92,Nouadhibou,MR,2021-03-29 18:15:36,20.931,-17.0347,69.8,68,39,19.57
93,Petauke,ZM,2021-03-29 18:15:36,-14.2426,31.3253,63.82,86,12,6.98
