,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
345,Ancud,CL,-41.8697,-73.8203,59.0,88,90,3.44,moderate rain
346,Bodajk,HU,47.3235,18.2331,44.01,81,90,16.11,overcast clouds
347,Roald,NO,62.5833,6.1333,43.0,65,0,11.5,clear sky
348,Puerto Quijarro,BO,-17.7833,-57.7667,100.49,25,1,0.47,clear sky
349,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.4,51,40,18.41,scattered clouds
350,Matagami,CA,49.7502,-77.6328,57.2,62,75,2.3,broken clouds
351,Oda,JP,35.1833,132.5,44.29,72,0,6.04,clear sky
352,Mmabatho,ZA,-25.85,25.6333,75.2,33,0,4.61,clear sky
353,Kattivakkam,IN,13.2167,80.3167,82.4,78,40,2.3,scattered clouds
354,Pitimbu,BR,-7.4706,-34.8086,84.2,74,40,11.5,scattered clouds
355,Ntchisi,MW,-13.5278,33.9149,64.4,88,75,4.61,broken clouds
356,Yarmolyntsi,UA,49.1924,26.8373,46.35,82,100,12.12,overcast clouds
357,Nioro,GM,13.35,-15.75,104.02,10,5,5.66,clear sky
358,Chapais,CA,49.7834,-74.8492,60.8,27,1,6.91,clear sky
359,Santa Cruz,BO,-17.8,-63.1667,86.0,54,40,4.61,scattered clouds
360,Say,NE,13.1007,2.3689,105.8,7,0,6.91,clear sky
361,Staraya Stanitsa,RU,48.35,40.2833,55.67,63,100,7.02,overcast clouds
362,Bonthe,SL,7.5264,-12.505,85.33,66,100,11.21,overcast clouds
363,Olanchito,HN,15.5,-86.5667,86.0,66,20,5.75,few clouds
364,Banepa,NP,27.6298,85.5214,64.4,59,20,4.61,haze
365,Buchanan,LR,5.8808,-10.0467,84.2,74,75,3.44,broken clouds
366,Cockburn Town,TC,21.4612,-71.1419,78.8,53,20,9.22,few clouds
367,Amudat,UG,1.95,34.95,76.77,45,38,5.1,scattered clouds
368,Dunn,US,44.95,-91.8835,37.0,69,90,9.22,overcast clouds
369,Grand Gaube,MU,-20.0064,57.6608,79.0,77,38,4.0,scattered clouds
370,Tocopilla,CL,-22.092,-70.1979,72.36,63,3,7.27,clear sky
371,Marienburg,PL,54.0359,19.0266,42.01,76,100,12.46,light rain
372,Santa Lucia,ES,27.9117,-15.5407,73.4,68,75,14.97,broken clouds
373,Waw,SS,7.7029,27.9953,90.32,12,28,4.12,scattered clouds
374,Merrill,US,45.1805,-89.6835,37.4,75,90,8.05,overcast clouds
375,Lulea,SE,65.5842,22.1547,41.0,42,0,10.36,clear sky
376,Minna,NG,9.6139,6.5569,100.15,16,64,6.46,broken clouds
377,Inhambane,MZ,-23.865,35.3833,77.0,73,20,7.49,few clouds
378,Carutapera,BR,-1.195,-46.02,83.7,78,41,8.12,scattered clouds
379,Urmary,RU,55.6789,47.944,55.4,62,0,4.47,clear sky
380,Kalvarija,LT,54.4,23.2333,36.79,96,100,12.39,light rain
381,Chicama,PE,-7.8447,-79.1469,69.8,83,20,10.36,few clouds
382,San Andres,CO,12.5847,-81.7006,86.0,70,40,12.66,scattered clouds
383,Piet Retief,ZA,-27.0071,30.8132,63.3,43,5,2.1,clear sky
384,Sarahan,IN,31.5167,77.8,50.09,68,83,4.52,broken clouds
385,Barranca,PE,-10.75,-77.7667,71.67,71,63,10.07,broken clouds
386,Fort-Shevchenko,KZ,44.5086,50.263,56.59,58,82,18.59,broken clouds
387,Haileybury,CA,47.449,-79.6373,57.2,51,20,8.05,few clouds
388,Kortkeros,RU,61.8106,51.5806,59.0,36,90,8.95,overcast clouds
389,Horconcitos,PA,8.4682,-81.8007,80.26,66,96,4.0,overcast clouds
390,At-Bashi,KG,41.1702,75.8106,45.43,56,63,4.74,broken clouds
391,Antalaha,MG,-14.9003,50.2788,76.62,86,99,5.79,light rain
392,Jalingo,NG,8.8833,11.3667,86.85,49,94,4.27,overcast clouds
393,Tabou,CI,4.423,-7.3528,84.25,70,100,9.28,overcast clouds
394,Komatipoort,ZA,-25.4332,31.9548,73.0,86,0,5.77,clear sky
395,Bosconia,CO,9.9689,-73.8836,92.59,45,100,5.84,overcast clouds
396,Ylivieska,FI,64.0833,24.55,37.99,68,6,5.01,clear sky
397,Hearst,CA,49.6835,-83.6665,35.6,100,82,5.75,broken clouds
398,Kashi,CN,39.4547,75.9797,60.8,33,58,4.47,broken clouds
399,Chibuto,MZ,-24.6867,33.5306,71.33,78,0,7.92,clear sky
400,Ilhabela,BR,-23.7781,-45.3581,75.97,58,61,5.64,broken clouds
401,Catamarca,AR,-28.4696,-65.7852,79.0,68,0,9.98,clear sky
402,Tiznit,MA,29.5833,-9.5,64.02,64,0,18.12,clear sky
403,Hualmay,PE,-11.0964,-77.6139,72.68,71,29,10.38,scattered clouds
404,Sterlibashevo,RU,53.4376,55.2578,46.83,81,2,7.07,clear sky
405,Dakar,SN,14.6937,-17.4441,77.0,61,0,18.41,clear sky
406,Grao Mogol,BR,-16.5594,-42.8897,83.43,32,8,4.56,clear sky
407,Outjo,NA,-20.1167,16.15,72.01,29,0,9.75,clear sky
408,Ballina,AU,-28.8667,153.5667,57.2,88,0,6.04,clear sky
409,Carndonagh,IE,55.25,-7.2667,51.8,71,20,16.11,few clouds
410,Luba,GQ,3.4568,8.5547,84.2,84,20,9.22,few clouds
411,Salym,RU,60.0625,71.4789,43.18,98,100,6.11,overcast clouds
412,Owando,CG,-0.4819,15.8999,77.7,79,48,3.2,scattered clouds
413,Kushmurun,KZ,52.4503,64.6311,41.09,74,33,3.98,scattered clouds
414,Escanaba,US,45.7453,-87.0646,39.99,93,90,4.61,light rain
415,Farmington,US,36.7281,-108.2187,64.99,20,1,17.27,clear sky
416,Khartoum,SD,15.5518,32.5324,91.0,8,54,10.25,broken clouds
417,Saint-Pierre,RE,-21.3393,55.4781,75.2,83,90,9.22,light rain
418,Madison,US,34.7334,-86.5667,72.0,53,75,5.75,broken clouds
419,La Asuncion,VE,11.0333,-63.8628,83.44,73,100,9.84,overcast clouds
420,Atbasar,KZ,51.8,68.3333,31.84,77,16,2.73,few clouds
421,Aripuana,BR,-9.1667,-60.6333,91.27,49,29,3.36,scattered clouds
422,Port Antonio,JM,18.18,-76.4612,89.6,62,20,11.5,few clouds
423,Geraldton,AU,-28.7667,114.6,55.4,76,0,10.36,clear sky
424,Mount Pleasant,US,32.7941,-79.8626,79.0,65,1,11.5,clear sky
425,Barvinkove,UA,48.9097,37.0205,51.53,76,86,6.33,overcast clouds
426,Chiredzi,ZW,-21.05,31.6667,74.77,44,0,6.38,clear sky
427,Sailana,IN,23.4667,74.9167,83.07,22,89,2.82,overcast clouds
428,Tazovskiy,RU,67.4667,78.7,16.74,94,98,8.61,overcast clouds
429,Veraval,IN,20.9,70.3667,81.16,58,1,11.41,clear sky
430,Mapiripan,CO,2.8892,-72.1256,73.98,95,100,5.91,overcast clouds
431,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,84.99,46,0,3.6,clear sky
432,El Hatillo,VE,10.4299,-66.8161,86.0,66,75,2.3,broken clouds
433,Sept-Iles,CA,50.2001,-66.3821,46.0,61,1,6.91,clear sky
434,Stornoway,GB,58.2093,-6.3865,48.2,76,90,8.05,light rain
435,Wilmington,US,34.2257,-77.9447,73.99,64,1,12.66,clear sky
436,Moose Factory,CA,51.2585,-80.6094,39.2,81,90,9.22,overcast clouds
437,Poltava,UA,49.5937,34.5407,50.81,77,97,4.29,overcast clouds
438,Chern,RU,53.4523,36.9145,57.38,46,81,7.49,light rain
439,Dwarka,IN,22.2394,68.9678,80.67,72,0,10.07,clear sky
440,Batsfjord,NO,70.6345,29.7185,33.8,80,40,24.16,light snow
441,Sayyan,YE,15.1718,44.3244,66.81,37,54,4.18,broken clouds
442,Sochi,RU,43.6,39.7303,50.0,81,82,4.47,broken clouds
443,Norwich,GB,52.6278,1.2983,46.4,49,40,9.22,scattered clouds
444,Bay Roberts,CA,47.5999,-53.2648,37.0,85,100,7.0,overcast clouds
445,Minas Novas,BR,-17.2186,-42.5903,86.29,34,16,5.03,few clouds
446,Opuwo,NA,-18.0607,13.84,78.39,29,20,9.35,few clouds
447,Rocha,UY,-34.4833,-54.3333,71.02,57,0,9.4,clear sky
448,Bulaevo,KZ,54.9056,70.4439,36.88,93,11,8.48,few clouds
449,Jaciara,BR,-15.9653,-54.9683,91.15,39,1,2.37,clear sky
450,Mwanza,TZ,-2.5167,32.9,73.4,83,20,3.49,few clouds
451,Sinnamary,GF,5.3833,-52.95,83.62,71,83,12.1,broken clouds
452,Krasnoslobodsk,RU,48.7072,44.5714,60.01,44,0,6.71,clear sky
453,Primorsk,UA,46.7348,36.3443,47.32,84,37,9.31,scattered clouds
454,Mashhad,IR,36.297,59.6062,64.4,34,0,6.91,clear sky
455,Mecca,SA,21.4267,39.8261,80.42,37,4,7.29,clear sky
456,Namibe,AO,-15.1961,12.1522,81.03,67,7,11.88,clear sky
457,Reconquista,AR,-29.15,-59.65,81.1,42,0,4.9,clear sky
458,Benghazi,LY,32.1167,20.0667,64.96,65,10,14.85,clear sky
459,Kaduqli,SD,11.0167,29.7167,90.18,7,7,7.49,clear sky
460,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,80.83,91,99,4.07,overcast clouds
461,Road Town,VG,18.4167,-64.6167,87.8,66,40,11.5,scattered clouds
462,Kutum,SD,14.2,24.6667,78.69,7,64,12.41,broken clouds
463,San Jose Del Guaviare,CO,2.5729,-72.6459,73.53,97,100,2.75,overcast clouds
464,Mushie,CD,-3.0167,16.9,77.79,74,45,1.99,light rain
465,Atlantic City,US,39.3643,-74.4229,68.0,45,75,10.36,broken clouds
466,Shahrud,IR,36.4182,54.9763,61.32,38,99,7.99,overcast clouds
467,Planaltina,BR,-15.4528,-47.6142,80.6,44,40,5.75,scattered clouds
468,Mogadishu,SO,2.0371,45.3438,82.27,72,100,15.14,overcast clouds
469,Ercis,TR,39.0287,43.3586,42.8,56,20,3.44,few clouds
470,Skibbereen,IE,51.55,-9.2667,50.0,62,40,9.22,scattered clouds
471,Mercedes,AR,-34.6515,-59.4307,75.99,50,0,11.01,clear sky
472,Uivar,RO,45.6581,20.9058,41.0,100,90,9.22,light rain
473,Killybegs,IE,54.6333,-8.45,57.2,41,20,5.75,few clouds
474,Rio Cuarto,AR,-33.1307,-64.3499,75.2,50,0,20.71,clear sky
475,Kamenka,RU,51.3223,42.7678,57.0,41,100,8.48,overcast clouds
476,Axim,GH,4.8699,-2.2405,83.95,73,100,12.97,overcast clouds
477,Pervomayskoye,RU,43.919,46.7102,54.03,86,100,9.57,overcast clouds
478,Mubende,UG,0.5606,31.39,63.95,93,92,0.36,light rain
479,Urdoma,RU,61.7533,48.5442,55.49,69,52,13.94,broken clouds
480,Calama,CL,-22.4667,-68.9333,75.2,12,0,21.85,clear sky
481,Sisimiut,GL,66.9395,-53.6735,19.94,80,100,20.85,overcast clouds
482,Muslyumovo,RU,55.3033,53.1947,53.76,70,7,6.89,clear sky
483,Melipilla,CL,-33.7,-71.2167,81.0,94,90,5.75,mist
484,Inta,RU,66.0317,60.1659,42.53,98,100,18.97,overcast clouds
485,Keetmanshoop,NA,-26.5833,18.1333,84.2,16,0,8.05,clear sky
486,Cabedelo,BR,-6.9811,-34.8339,84.2,74,40,11.5,moderate rain
487,Sawakin,SD,19.1059,37.3321,77.72,56,5,9.26,clear sky
488,Gojra,PK,31.1487,72.6866,84.85,15,24,5.41,few clouds
489,Witu,KE,-2.3889,40.4382,84.2,79,40,12.66,light rain
490,Tefe,BR,-3.3542,-64.7114,77.0,94,90,5.75,moderate rain
491,Chinhoyi,ZW,-17.3667,30.2,66.42,41,11,3.87,few clouds
492,Virton,BE,49.5682,5.5326,45.0,57,98,1.99,light rain
493,Wagar,SD,16.1525,36.2032,88.97,13,1,17.4,clear sky
494,Chivacoa,VE,10.1603,-68.895,80.6,61,75,6.91,broken clouds
495,Kansanshi,ZM,-12.0951,26.4273,60.28,96,77,4.97,broken clouds
496,North Augusta,US,33.5018,-81.9651,87.8,42,1,9.22,clear sky
497,Nagorsk,RU,59.3172,50.8078,45.59,85,29,8.5,scattered clouds
498,Itacare,BR,-14.2775,-38.9967,86.0,54,40,9.22,scattered clouds
499,Belmonte,BR,-15.8631,-38.8828,75.2,83,40,3.44,scattered clouds
500,Sarande,AL,39.8756,20.0053,55.4,50,20,13.8,few clouds
501,Palora,EC,-1.7,-77.9333,77.0,69,75,6.91,moderate rain
502,Villa Maria,AR,-32.4075,-63.2402,75.99,58,0,1.99,clear sky
503,Turukhansk,RU,65.8167,87.9833,9.1,98,100,4.36,overcast clouds
504,Sur,OM,22.5667,59.5289,86.14,44,8,9.22,clear sky
505,Naraina,IN,26.7833,75.2,86.0,25,40,3.44,haze
506,Mabaruma,GY,8.2,-59.7833,88.63,52,100,5.66,overcast clouds
507,Male,MV,4.1748,73.5089,84.2,79,40,6.91,scattered clouds
508,Werda,BW,-25.2667,23.2833,77.99,23,0,2.55,clear sky
509,Kidodi,TZ,-7.6036,37.0044,72.25,96,81,3.49,light rain
510,Birjand,IR,32.8663,59.2211,53.6,26,20,6.91,few clouds
511,Tumaco,CO,1.7986,-78.8156,82.08,80,96,7.49,light rain
512,Lodja,CD,-3.4833,23.4333,73.35,84,100,3.22,overcast clouds
513,Nalut,LY,30.3333,10.85,78.98,17,96,8.14,overcast clouds
514,Dobryanka,RU,58.4619,56.4165,50.0,62,0,8.95,clear sky
515,Albany,US,42.6001,-73.9662,70.0,38,76,1.99,broken clouds
516,Lucapa,AO,-8.4192,20.7447,65.68,97,100,3.2,light rain
517,Kulhudhuffushi,MV,6.6221,73.07,84.22,65,43,1.01,scattered clouds
518,Ormara,PK,25.2088,64.6357,80.26,72,85,14.14,overcast clouds
519,Chipinge,ZW,-20.1883,32.6236,62.89,65,0,3.53,clear sky
520,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,93.97,28,4,7.58,clear sky
521,Ampanihy,MG,-24.7,44.75,75.04,77,19,9.78,few clouds
522,Berlevag,NO,70.8578,29.0864,33.8,75,20,18.41,light snow
523,Anjozorobe,MG,-18.4,47.8667,66.2,88,20,6.91,moderate rain
524,San Rafael Del Sur,NI,11.8485,-86.4384,87.8,55,40,11.5,scattered clouds
525,Comendador,DO,18.8775,-71.7028,85.5,39,43,11.21,scattered clouds
526,Aksarka,RU,66.5606,67.7975,35.92,99,100,15.64,overcast clouds
527,Bida,NG,9.0833,6.0167,101.77,18,56,3.49,broken clouds
528,Sombrio,BR,-29.1139,-49.6167,76.59,49,22,9.82,few clouds
529,Kudahuvadhoo,MV,2.6708,72.8944,83.05,68,49,6.91,scattered clouds
530,Hvolsvollur,IS,63.7533,-20.2243,48.2,81,20,11.5,few clouds
531,Burgersdorp,ZA,-30.9977,26.3286,74.57,24,43,8.16,scattered clouds
532,Butler,US,39.4501,-84.5666,59.0,44,1,5.75,clear sky
533,Kuliyapitiya,LK,7.4688,80.0401,77.0,88,40,4.61,scattered clouds
534,Susanino,RU,58.1461,41.5872,52.18,73,99,6.46,overcast clouds
535,Micheweni,TZ,-4.9667,39.8333,80.1,82,100,11.3,light rain
536,Tessalit,ML,20.1986,1.0114,103.28,4,64,12.17,broken clouds
537,Ullapool,GB,57.8987,-5.1604,53.01,62,53,1.99,broken clouds
538,Snezhnogorsk,RU,69.1933,33.2531,33.8,64,40,8.95,scattered clouds
539,Tukrah,LY,32.5341,20.5791,63.37,67,6,8.23,clear sky
540,Leh,IN,34.1667,77.5833,35.92,55,78,2.06,broken clouds
541,Bukama,CD,-9.2,25.85,68.49,97,100,2.24,light rain
542,Marovoay,MG,-16.1,46.6333,78.8,89,20,1.14,light rain
543,Bengkulu,ID,-3.8004,102.2655,75.72,89,84,4.12,broken clouds
544,Yangambi,CD,0.8102,24.4336,76.08,75,94,4.09,overcast clouds
545,Trincomalee,LK,8.5711,81.2335,82.0,78,100,8.21,moderate rain
546,Bani,DO,18.2833,-70.3333,87.8,62,40,9.22,scattered clouds
547,Okakarara,NA,-20.5833,17.4333,68.9,29,0,7.7,clear sky
548,Iberia,US,29.9502,-91.7507,64.4,94,90,10.36,overcast clouds
549,Crossville,US,35.949,-85.0269,72.0,56,90,6.91,overcast clouds
550,Liverpool,GB,53.4106,-2.9779,55.4,62,54,8.05,broken clouds
551,Loandjili,CG,-4.7561,11.8578,78.8,83,40,5.75,scattered clouds
552,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,84.0,62,19,5.06,few clouds
553,Mattru,SL,7.6244,-11.8332,84.2,68,99,7.2,light rain
554,Baherden,TM,38.4362,57.4316,71.89,21,27,9.15,scattered clouds
555,Pauini,BR,-7.7136,-66.9764,92.12,46,64,3.53,broken clouds
556,Florianopolis,BR,-27.6146,-48.5012,75.99,60,75,3.44,broken clouds
557,Ystad,SE,55.4297,13.8204,46.4,39,0,10.36,light rain
558,Kovdor,RU,67.5662,30.4758,30.78,68,37,15.66,scattered clouds
559,Hun,LY,29.1268,15.9477,78.13,25,26,12.01,scattered clouds
560,Guru Har Sahai,IN,30.7167,74.4167,83.28,18,40,5.3,scattered clouds
561,Rabo De Peixe,PT,37.8,-25.5833,62.6,88,20,16.11,few clouds
562,Jose Bonifacio,BR,-21.0528,-49.6883,87.8,33,20,4.61,few clouds
563,Shahreza,IR,32.0339,51.8794,63.14,31,87,5.37,overcast clouds
564,Saint-Leu,RE,-21.15,55.2833,78.8,83,90,9.22,moderate rain
565,Uspenka,UA,48.3903,39.1619,55.15,69,67,9.08,broken clouds
566,Ladybrand,ZA,-29.1945,27.4574,67.03,29,70,4.34,broken clouds
567,Mezen,RU,65.8522,44.24,33.76,74,69,10.8,broken clouds
568,Pontes E Lacerda,BR,-15.2261,-59.3353,87.75,51,35,2.39,scattered clouds
569,Kindu,CD,-2.95,25.95,73.13,88,90,2.71,overcast clouds
570,Coihaique,CL,-45.5752,-72.0662,55.4,50,40,8.05,scattered clouds
571,Rio Grande,BR,-32.035,-52.0986,77.0,53,40,18.41,scattered clouds
572,Puerto Carreno,CO,6.189,-67.4859,80.85,72,100,2.59,moderate rain
573,Rognan,NO,67.0953,15.3878,37.99,70,100,1.01,overcast clouds
574,Dustlik,UZ,40.5247,68.0358,62.49,51,31,5.61,scattered clouds
575,Donskoye,RU,45.4552,41.9741,50.0,81,0,2.24,clear sky
576,The Valley,AI,18.217,-63.0578,84.2,78,20,11.5,few clouds
577,Benavente,ES,42.0025,-5.6783,62.6,34,20,8.05,few clouds
578,Altamira,BR,-3.2033,-52.2064,87.8,70,75,4.61,broken clouds
579,Fuerte Olimpo,PY,-21.0415,-57.8738,99.82,25,1,3.87,clear sky
580,Vila Do Maio,CV,15.1333,-23.2167,80.6,44,0,28.77,clear sky
581,Mariental,NA,-24.6333,17.9667,78.15,15,0,11.03,clear sky
582,Brewster,US,41.3973,-73.6171,70.0,37,40,3.44,scattered clouds
583,Lexington Park,US,38.2668,-76.4538,66.2,82,90,6.91,light rain
584,Bahia Blanca,AR,-38.7196,-62.2724,75.2,37,0,17.92,clear sky
585,Ansbach,DE,49.3,10.5833,42.8,56,20,4.61,few clouds
586,Kjopsvik,NO,68.097,16.3742,36.0,75,75,16.11,light rain and snow
587,Snasa,NO,64.2457,12.3778,42.8,52,40,8.05,scattered clouds
588,Kasangulu,CD,-4.5911,15.1708,78.8,78,75,6.91,light rain
589,Gobabis,NA,-22.45,18.9667,69.46,24,0,10.78,clear sky
590,Druzhba,UA,52.0428,33.9453,51.85,75,100,2.62,light rain
591,Sete,FR,43.4018,3.6966,60.8,44,0,9.22,clear sky
592,Parasia,IN,22.2,78.7667,81.91,25,98,13.62,overcast clouds
593,Westerland,DE,54.9079,8.3033,45.0,70,13,17.27,few clouds
594,Plymouth,US,41.8334,-70.8328,57.99,58,1,12.66,clear sky
595,Desenzano Del Garda,IT,45.468,10.534,55.4,33,9,8.05,clear sky
596,Abu Samrah,SY,35.3029,37.1841,61.07,34,0,3.2,clear sky
597,Malangali,TZ,-8.5667,34.85,63.28,92,100,8.7,overcast clouds
598,Coruripe,BR,-10.1256,-36.1756,83.28,66,56,8.79,light rain
599,Clarence Town,AU,-32.5833,151.7833,64.99,72,90,4.61,overcast clouds
600,Herat,AF,34.5,62.0,60.8,44,40,3.44,scattered clouds
601,Kelamangalam,IN,12.6,77.85,75.2,83,90,2.3,light rain
602,Aracaju,BR,-10.9111,-37.0717,82.4,69,40,10.36,scattered clouds
603,Vohibinany,MG,-17.35,49.0333,71.89,99,96,0.43,overcast clouds
604,Komsomolskiy,UZ,40.4272,71.7189,60.8,48,23,9.22,few clouds
605,Korla,CN,41.7597,86.1469,61.14,26,8,2.93,clear sky
606,Urucurituba,BR,-2.6833,-57.6667,87.51,64,69,4.79,light rain
607,Rivadavia,AR,-33.1905,-68.4608,73.4,43,0,4.61,clear sky
608,Broadstairs,GB,51.3591,1.4394,44.01,62,5,4.0,clear sky
609,Guiratinga,BR,-16.3494,-53.7583,91.6,33,5,2.53,clear sky
610,Kankon,IN,15.0167,74.0167,84.2,74,20,3.44,few clouds
611,Akureyri,IS,65.6835,-18.0878,50.0,53,75,18.41,broken clouds
612,Polunochnoye,RU,60.8697,60.4153,47.68,85,97,8.03,overcast clouds
613,Manakara,MG,-22.1333,48.0167,74.64,88,100,3.22,light rain
614,Strezhevoy,RU,60.7333,77.5889,33.8,100,100,2.24,overcast clouds
615,Tucurui,BR,-3.7661,-49.6725,85.15,73,69,2.89,broken clouds
616,San Vicente,AR,-26.6167,-54.1333,79.97,54,84,2.82,broken clouds
617,Asfi,MA,32.2994,-9.2372,65.28,82,91,9.48,overcast clouds
618,Chingirlau,KZ,51.095,54.0814,54.64,65,0,11.45,clear sky
619,Tromso,NO,69.6496,18.957,30.99,100,90,6.91,heavy snow
620,Moba,CN,33.2288,105.0179,42.66,91,5,2.28,clear sky
621,Medzev,SK,48.7004,20.8937,39.2,60,40,19.57,scattered clouds
622,Oum Hadjer,TD,13.2954,19.6966,92.12,5,42,2.42,scattered clouds
623,Morshansk,RU,53.4435,41.8107,55.65,50,100,6.29,overcast clouds
624,Damaturu,NG,11.747,11.9608,98.46,9,85,6.85,overcast clouds
625,Bulungu,CD,-4.55,18.6,74.39,88,100,3.67,light rain
626,Kozhevnikovo,RU,56.2589,83.9714,39.0,68,100,7.45,overcast clouds
627,Tsaratanana,MG,-16.7833,47.65,74.17,86,99,3.13,light rain
628,Lixourion,GR,38.2019,20.4314,60.8,63,20,5.75,few clouds
629,Encruzilhada Do Sul,BR,-30.5439,-52.5219,79.48,36,0,6.49,clear sky
630,Tapes,BR,-30.6733,-51.3958,76.41,53,0,10.49,clear sky
631,Markdale,CA,44.3168,-80.6497,55.0,46,9,8.72,clear sky
632,Calvia,ES,39.5657,2.5062,61.0,42,99,3.0,overcast clouds
633,Ovalle,CL,-30.5983,-71.2003,74.91,50,11,6.33,few clouds
634,Piacabucu,BR,-10.4056,-36.4344,83.82,63,45,9.6,scattered clouds
635,Shu,KZ,43.5983,73.7614,56.5,33,0,12.53,clear sky
636,Padang,ID,-0.9492,100.3543,78.49,86,97,3.06,overcast clouds
637,Presidente Epitacio,BR,-21.7633,-52.1156,91.24,30,6,6.44,clear sky
638,Svarstad,NO,59.399,9.9698,45.0,56,56,1.99,broken clouds
639,Miracatu,BR,-24.2814,-47.4597,75.13,69,94,2.75,overcast clouds
640,Sayat,TM,38.7839,63.8803,59.0,41,0,4.61,clear sky
641,Karla,EE,59.3723,24.9275,39.2,65,0,5.75,clear sky
642,Troy,US,42.6056,-83.1499,55.0,43,75,10.36,broken clouds
643,Stilfontein,ZA,-26.8449,26.7683,76.03,22,30,7.67,scattered clouds
644,Ambovombe,MG,-25.1667,46.0833,75.27,84,0,11.21,clear sky
645,Springbok,ZA,-29.6643,17.8865,79.16,20,5,6.53,clear sky
646,Isiro,CD,2.7739,27.616,75.65,59,98,3.4,overcast clouds
647,Olafsvik,IS,64.8945,-23.7142,42.76,89,89,17.76,overcast clouds
648,Cradock,ZA,-32.1642,25.6192,73.04,33,6,7.87,clear sky
649,Boksitogorsk,RU,59.474,33.8485,37.0,89,100,3.56,overcast clouds
650,Naron,ES,43.5167,-8.1528,64.99,55,0,8.05,clear sky
651,Ureki,GE,41.9956,41.7786,53.6,71,0,1.3,clear sky
652,Hit,IQ,33.6416,42.8251,69.84,17,1,9.26,clear sky
653,Kismayo,SO,-0.3582,42.5454,82.54,74,98,11.65,overcast clouds
654,Vestmanna,FO,62.1564,-7.1664,44.6,100,75,6.91,broken clouds
655,Mamallapuram,IN,12.6264,80.1722,82.4,78,40,2.3,scattered clouds
656,Sciacca,IT,37.5082,13.0881,55.0,69,100,7.0,overcast clouds
657,Oktyabrskoye,RU,43.0645,44.7417,50.0,81,75,11.18,broken clouds
658,Bombay,IN,19.0144,72.8479,86.0,79,40,6.91,haze
659,Sao Desiderio,BR,-12.3633,-44.9733,90.64,33,95,7.43,overcast clouds
660,Saint-Louis,SN,16.3333,-15.0,104.0,16,0,4.61,clear sky
661,Zaranj,AF,30.9667,61.8833,69.8,43,0,4.61,clear sky
662,Praia,CV,14.9215,-23.5087,80.6,44,0,28.77,clear sky
663,Lahij,YE,13.1667,44.5833,78.66,58,25,7.38,scattered clouds
664,Sant Feliu De Guixols,ES,41.7833,3.0333,57.99,50,40,9.22,scattered clouds
665,Esmeraldas,BR,-19.7625,-44.3139,80.6,44,75,4.61,broken clouds
666,Pinas,EC,-3.6667,-79.65,86.0,66,40,6.91,light rain
667,Yarada,IN,17.65,83.2667,80.6,65,75,2.3,broken clouds
668,Maraa,BR,-1.8333,-65.3667,82.47,83,94,2.42,moderate rain
669,Kanniyakumari,IN,8.0833,77.5667,83.34,75,53,7.56,broken clouds
670,Bardiyah,LY,31.7561,25.0865,64.47,63,48,12.91,scattered clouds
671,Vetapalem,IN,15.7833,80.3167,84.99,74,90,12.26,heavy intensity rain
672,Kilindoni,TZ,-7.9139,39.6668,80.96,76,100,15.86,overcast clouds
673,Marawi,PH,7.9986,124.2928,75.99,87,100,4.0,overcast clouds
674,Talnakh,RU,69.4865,88.3972,-1.32,92,85,2.1,overcast clouds
